row,utt_id,subset,char_sub,char_del,char_ins,char_ref,word_sub,word_del,word_ins,word_ref
1,tr-011_03254,test_spanish_only,2,1,9,209,9,0,1,61
1,tr-005_00124,test_spanish_only,8,4,8,78,10,2,2,21
1,tr-005_00131,test_spanish_only,12,15,2,91,8,2,0,18
1,tr-010_02555,test_spanish_only,2,17,7,97,9,6,0,26
1,tr-010_02703,test_spanish_only,1,18,3,89,5,5,0,26
1,tr-009_02202,test_spanish_only,2,12,2,61,4,6,0,17
1,tr-011_02955,test_spanish_only,4,5,8,117,7,2,2,32
1,tr-011_03044,test_spanish_only,0,0,2,24,2,0,0,5
1,tr-006_00650,test_spanish_only,7,8,5,88,10,2,0,26
1,tr-007_01147,test_spanish_only,1,4,1,65,5,0,0,17
1,tr-010_02797,test_spanish_only,2,3,8,61,5,2,2,17
1,tr-010_02815,test_spanish_only,1,13,4,74,3,4,1,19
1,tr-011_02948,test_spanish_only,0,0,2,78,2,0,0,22
1,tr-005_00161,test_spanish_only,2,4,2,58,4,2,0,19
1,tr-011_03246,test_spanish_only,2,7,10,96,11,1,0,26
1,tr-006_00668,test_spanish_only,3,3,6,71,8,1,1,16
1,tr-011_02964,test_spanish_only,1,18,4,74,4,4,0,19
1,tr-006_00654,test_spanish_only,13,15,11,136,13,3,5,39
1,tr-011_03277,test_spanish_only,1,2,0,15,1,1,0,5
1,tr-010_02694,test_spanish_only,7,6,1,43,7,3,0,15
1,tr-011_03021,test_spanish_only,1,11,2,65,3,3,0,17
1,tr-011_03259,test_spanish_only,1,1,2,46,2,1,1,13
1,tr-006_01024,test_spanish_only,3,26,1,78,5,6,0,20
2,tr-005_00322,test_guarani_only,3,3,9,24,3,2,0,5
2,tr-009_02047,test_guarani_only,5,4,1,42,4,0,2,5
2,tr-007_01213,test_guarani_only,5,3,3,51,5,0,2,7
2,tr-010_02466,test_guarani_only,0,4,2,32,2,1,0,5
2,tr-008_01948,test_guarani_only,2,1,1,32,3,1,0,7
2,tr-007_01347,test_guarani_only,1,1,0,25,1,1,0,6
2,tr-007_01328,test_guarani_only,4,5,5,31,3,3,0,6
2,tr-010_02424,test_guarani_only,4,0,0,29,3,1,0,6
2,tr-007_01189,test_guarani_only,8,6,2,53,6,2,1,9
2,tr-007_01154,test_guarani_only,1,5,0,26,3,0,0,6
2,tr-008_01774,test_guarani_only,20,17,2,51,7,0,0,7
2,tr-009_02005,test_guarani_only,1,13,0,30,1,3,0,6
2,tr-010_02397,test_guarani_only,4,1,2,22,4,2,0,6
2,tr-010_02510,test_guarani_only,5,3,1,33,4,3,0,7
2,tr-008_01884,test_guarani_only,6,4,0,46,5,0,1,7
2,tr-010_02395,test_guarani_only,3,2,9,40,5,0,1,9
2,tr-009_02044,test_guarani_only,3,1,0,48,7,0,1,8
2,tr-010_02472,test_guarani_only,5,5,4,32,5,1,0,6
2,tr-005_00207,test_guarani_only,0,1,1,12,1,1,0,3
2,tr-008_01937,test_guarani_only,4,3,2,36,4,1,0,6
2,tr-010_02406,test_guarani_only,3,4,1,19,2,2,0,5
2,tr-009_02359,test_guarani_only,1,3,0,27,1,1,0,4
2,tr-007_01208,test_guarani_only,7,15,2,55,6,4,0,11
2,tr-010_02415,test_guarani_only,11,5,1,69,7,3,0,12
2,tr-008_01881,test_guarani_only,1,0,0,15,1,0,1,4
2,tr-010_02520,test_jehea,2,3,1,36,4,0,1,6
2,tr-008_01885,test_jehea,3,3,3,24,3,2,0,6
2,tr-010_02529,test_jehea,11,13,4,87,12,6,0,20
2,tr-007_01440,test_jehea,22,18,2,118,15,13,0,32
2,tr-009_02080,test_jehea,10,12,3,75,10,3,0,16
2,tr-009_02023,test_jehea,10,9,0,114,11,1,1,17
2,tr-007_01396,test_jehea,8,21,4,111,16,4,0,23
2,tr-008_01771,test_jehea,9,9,1,106,10,1,2,16
2,tr-008_01742,test_jehea,1,1,2,29,4,0,1,5
2,tr-007_01490,test_jehea,14,26,3,96,7,10,0,22
2,tr-010_02454,test_jehea,10,12,2,108,13,3,3,23
2,tr-010_02536,test_jehea,16,7,5,101,9,3,1,21
2,tr-007_01215,test_jehea,19,49,0,157,8,9,3,27
2,tr-007_01243,test_jehea,18,6,1,65,9,7,0,16
2,tr-009_02087,test_jehea,12,14,2,91,10,7,0,19
2,tr-008_01968,test_jehea,14,18,2,61,10,3,0,14
2,tr-006_00990,test_jehea,14,8,10,84,12,6,2,23
2,tr-005_00374,test_jehea,13,11,3,80,11,5,0,19
2,tr-005_00406,test_jehea,9,23,6,106,14,4,0,23
2,tr-005_00364,test_jehea,15,8,2,81,8,7,0,17
2,tr-005_00194,test_jehea,8,10,4,77,9,2,0,15
2,tr-005_00323,test_jehea,10,9,1,84,13,5,0,19
2,tr-010_02531,test_jehea,3,2,2,33,4,2,0,7
2,tr-005_00258,test_jehea,11,7,1,53,8,5,0,13
2,tr-005_00198,test_jehea,3,16,2,67,7,2,2,13
2,tr-005_00276,test_jehea,5,8,3,59,7,3,0,11
2,tr-005_00293,test_jehea,6,5,7,54,10,0,1,10
2,tr-005_00203,test_jehea,9,19,2,76,5,3,0,12
2,tr-005_00345,test_jehea,10,7,4,43,7,4,0,11
2,tr-005_00348,test_jehea,8,14,0,51,3,4,0,10
2,tr-005_00403,test_jehea,3,9,0,64,5,2,2,13
2,tr-006_00693,test_jehea,52,63,50,634,65,22,11,176
2,tr-005_00267,test_jehea,6,2,2,25,3,2,0,5
2,tr-010_02425,test_mixed,4,3,3,40,4,1,2,7
2,tr-005_00340,test_mixed,5,0,10,26,3,3,0,8
2,tr-007_01128,test_mixed,8,9,1,65,6,6,0,22
2,tr-008_01702,test_mixed,8,10,3,53,7,6,1,16
2,tr-005_00370,test_mixed,13,9,3,52,8,5,0,14
2,tr-005_00010,test_mixed,32,40,7,173,24,15,0,42
2,tr-008_01864,test_mixed,15,2,12,26,5,0,0,5
2,tr-008_01853,test_mixed,10,10,1,38,6,3,0,9
2,tr-007_01383,test_mixed,9,11,2,100,12,6,1,23
2,tr-011_02995,test_mixed,14,14,2,72,9,9,0,20
2,tr-009_02339,test_mixed,6,4,5,70,10,5,0,19
2,tr-009_02077,test_mixed,5,18,0,89,8,6,0,16
2,tr-008_01931,test_mixed,5,5,0,56,3,1,0,13
2,tr-005_00413,test_mixed,11,11,4,65,8,3,0,14
2,tr-008_01800,test_mixed,12,28,1,71,8,7,0,16
2,tr-011_02953,test_mixed,6,23,0,80,6,7,0,22
2,tr-006_00892,test_mixed,18,11,0,83,13,7,0,20
2,tr-007_01421,test_mixed,11,16,5,78,10,6,0,20
2,tr-007_01533,test_mixed,16,11,3,161,19,5,1,33
2,tr-006_00995,test_mixed,10,19,0,89,17,7,0,26
2,tr-009_02340,test_mixed,9,6,2,75,11,2,0,18
2,tr-005_00086,test_mixed,5,26,3,50,2,11,0,13
2,tr-005_00206,test_mixed,10,11,3,60,8,2,0,12
2,tr-005_00286,test_mixed,8,10,9,64,8,2,0,11
2,tr-005_00347,test_mixed,19,18,1,67,6,8,0,14
2,tr-005_00311,test_mixed,11,14,8,79,9,7,0,18
2,tr-005_00232,test_mixed,5,8,1,43,5,3,0,11
2,tr-006_00641,test_mixed,60,60,23,634,69,23,7,173
2,tr-007_01492,test_mixed,10,3,1,42,7,2,0,10
2,tr-008_01729,test_mixed,9,10,0,41,5,5,0,11
2,tr-006_00897,test_mixed,4,4,0,41,6,1,0,9
2,tr-010_02819,test_mixed,8,10,0,47,7,4,0,11
2,tr-006_00676,test_mixed,3,6,0,33,4,6,0,12
2,tr-010_02545,test_mixed,5,8,3,45,7,2,0,9
2,tr-011_02872,test_mixed,16,12,4,147,15,7,3,41
2,tr-010_02825,test_mixed,14,4,2,75,10,6,0,16
2,tr-009_02231,test_mixed,19,16,3,154,25,9,0,42
2,tr-007_01401,test_mixed,9,13,2,73,11,5,0,22
2,tr-007_01484,test_mixed,12,11,0,133,16,4,0,38
2,tr-007_01348,test_mixed,13,17,3,42,8,0,0,8
2,tr-009_02028,test_mixed,8,10,4,43,8,0,0,8
2,tr-009_02163,test_mixed,19,8,3,94,15,5,0,26
2,tr-008_01576,test_mixed,29,118,0,439,31,39,0,103
2,tr-006_01017,test_mixed,22,28,1,127,19,11,0,33
2,tr-011_03267,test_mixed,15,15,11,98,14,12,0,34
2,tr-006_00680,test_mixed,9,5,5,54,9,8,0,18
2,tr-006_00605,test_mixed,6,4,1,42,7,1,0,10
2,tr-008_01847,test_mixed,5,0,0,46,4,0,1,8
2,tr-011_03237,test_mixed,14,10,0,58,10,5,0,15
2,tr-009_02219,test_mixed,4,5,7,36,5,2,1,10
2,tr-008_01677,test_mixed,13,18,1,92,10,11,0,25
2,tr-006_01075,test_mixed,3,10,0,54,8,4,0,14
2,tr-006_01025,test_mixed,4,6,2,47,8,4,0,13
2,tr-008_01863,test_mixed,1,3,6,34,5,1,0,8
2,tr-010_02746,test_mixed,11,7,2,62,11,5,0,17
2,tr-006_01009,test_mixed,7,2,1,29,5,2,0,9
2,tr-009_02007,test_mixed,6,2,0,24,2,5,0,7
2,tr-007_01398,test_mixed,4,2,1,32,5,0,2,6
2,tr-006_00996,test_mixed,2,6,1,47,5,1,0,6
2,tr-011_03110,test_mixed,12,10,7,78,14,3,1,24
2,tr-008_01705,test_mixed,28,20,8,95,14,10,0,25
2,tr-007_01395,test_mixed,6,11,2,80,9,5,0,19
2,tr-005_00319,test_mixed,9,3,0,38,6,2,0,11
2,tr-008_01798,test_mixed,5,3,2,25,2,2,0,6
2,tr-007_01214,test_mixed,9,15,1,41,6,4,0,10
2,tr-006_00487,test_mixed,6,8,3,59,7,3,0,14
2,tr-007_01427,test_mixed,35,83,6,265,33,25,0,62
2,tr-011_03153,test_spanish_only,8,6,2,51,7,4,0,17
2,tr-010_02781,test_spanish_only,10,10,2,78,10,3,0,19
2,tr-011_03254,test_spanish_only,21,11,4,209,21,4,1,61
2,tr-005_00124,test_spanish_only,9,6,7,78,11,5,0,21
2,tr-005_00131,test_spanish_only,16,22,1,91,13,1,0,18
2,tr-010_02555,test_spanish_only,12,18,0,97,13,6,0,26
2,tr-010_02703,test_spanish_only,13,14,2,89,13,13,0,26
2,tr-009_02202,test_spanish_only,6,9,0,61,9,3,2,17
2,tr-011_02955,test_spanish_only,9,10,1,117,13,4,1,32
2,tr-011_03044,test_spanish_only,5,2,0,24,3,2,0,5
2,tr-006_00650,test_spanish_only,15,18,1,88,10,12,0,26
2,tr-007_01147,test_spanish_only,5,3,0,65,7,1,0,17
2,tr-010_02797,test_spanish_only,3,5,4,61,7,3,1,17
2,tr-010_02815,test_spanish_only,8,13,0,74,9,4,0,19
2,tr-011_02948,test_spanish_only,6,2,1,78,3,5,0,22
2,tr-005_00161,test_spanish_only,6,11,3,58,12,5,0,19
2,tr-011_03246,test_spanish_only,7,5,1,96,7,5,0,26
2,tr-006_00668,test_spanish_only,13,11,2,71,6,3,1,16
2,tr-011_02964,test_spanish_only,11,19,0,74,9,4,0,19
2,tr-006_00654,test_spanish_only,24,17,15,136,26,6,0,39
2,tr-011_03277,test_spanish_only,3,1,2,15,4,1,0,5
2,tr-010_02694,test_spanish_only,5,1,2,43,5,2,0,15
2,tr-011_03021,test_spanish_only,4,6,1,65,9,2,0,17
2,tr-011_03259,test_spanish_only,1,2,0,46,1,1,0,13
2,tr-006_01024,test_spanish_only,8,9,2,78,11,1,0,20
3,tr-005_00322,test_guarani_only,13,11,0,24,4,1,0,5
3,tr-009_02047,test_guarani_only,7,6,1,42,5,0,4,5
3,tr-007_01213,test_guarani_only,6,2,3,51,5,0,1,7
3,tr-010_02466,test_guarani_only,8,7,2,32,4,1,0,5
3,tr-008_01948,test_guarani_only,2,2,1,32,2,1,0,7
3,tr-007_01347,test_guarani_only,4,3,0,25,4,2,0,6
3,tr-007_01328,test_guarani_only,6,7,2,31,6,0,0,6
3,tr-010_02424,test_guarani_only,7,3,1,29,5,0,3,6
3,tr-007_01189,test_guarani_only,13,10,1,53,8,1,0,9
3,tr-007_01154,test_guarani_only,8,8,0,26,5,1,0,6
3,tr-008_01774,test_guarani_only,22,15,1,51,7,0,0,7
3,tr-009_02005,test_guarani_only,11,19,0,30,1,5,0,6
3,tr-010_02397,test_guarani_only,5,6,0,22,3,1,0,6
3,tr-010_02510,test_guarani_only,12,7,0,33,7,0,0,7
3,tr-008_01884,test_guarani_only,4,4,0,46,5,0,0,7
3,tr-010_02395,test_guarani_only,11,3,5,40,8,1,0,9
3,tr-009_02044,test_guarani_only,0,1,0,48,2,0,2,8
3,tr-010_02472,test_guarani_only,9,6,1,32,6,0,1,6
3,tr-005_00207,test_guarani_only,1,0,1,12,1,0,0,3
3,tr-008_01937,test_guarani_only,8,3,0,36,4,1,0,6
3,tr-010_02406,test_guarani_only,4,3,2,19,5,0,4,5
3,tr-009_02359,test_guarani_only,2,4,0,27,4,0,0,4
3,tr-007_01208,test_guarani_only,17,14,1,55,8,3,0,11
3,tr-010_02415,test_guarani_only,6,11,2,69,5,2,0,12
3,tr-008_01881,test_guarani_only,1,0,0,15,2,1,0,4
3,tr-010_02520,test_jehea,7,4,1,36,5,0,0,6
3,tr-008_01885,test_jehea,1,0,2,24,3,0,0,6
3,tr-010_02529,test_jehea,18,14,2,87,12,2,0,20
3,tr-007_01440,test_jehea,10,8,2,118,9,2,3,32
3,tr-009_02080,test_jehea,22,8,3,75,12,1,0,16
3,tr-009_02023,test_jehea,5,5,1,114,3,2,0,17
3,tr-007_01396,test_jehea,18,27,0,111,21,0,0,23
3,tr-008_01771,test_jehea,6,7,0,106,8,0,3,16
3,tr-008_01742,test_jehea,29,0,6,29,5,0,3,5
3,tr-007_01490,test_jehea,15,14,5,96,10,2,1,22
3,tr-010_02454,test_jehea,34,19,4,108,23,0,0,23
3,tr-010_02536,test_jehea,12,7,8,101,9,1,1,21
3,tr-007_01215,test_jehea,14,48,3,157,13,6,0,27
3,tr-007_01243,test_jehea,3,3,1,65,4,0,1,16
3,tr-009_02087,test_jehea,10,8,0,91,9,2,1,19
3,tr-008_01968,test_jehea,10,5,2,61,7,2,2,14
3,tr-006_00990,test_jehea,7,16,3,84,7,3,2,23
3,tr-005_00374,test_jehea,10,17,1,80,9,6,0,19
3,tr-005_00406,test_jehea,10,27,7,106,13,2,3,23
3,tr-005_00364,test_jehea,16,16,2,81,12,1,0,17
3,tr-005_00194,test_jehea,3,8,4,77,5,2,2,15
3,tr-005_00323,test_jehea,11,12,3,84,15,2,0,19
3,tr-010_02531,test_jehea,1,2,0,33,1,2,0,7
3,tr-005_00258,test_jehea,6,4,2,53,6,0,1,13
3,tr-005_00198,test_jehea,10,17,0,67,10,0,2,13
3,tr-005_00276,test_jehea,5,1,2,59,4,0,1,11
3,tr-005_00293,test_jehea,13,2,2,54,6,0,1,10
3,tr-005_00203,test_jehea,9,27,1,76,4,3,1,12
3,tr-005_00345,test_jehea,8,7,2,43,7,0,3,11
3,tr-005_00348,test_jehea,6,20,4,51,10,0,0,10
3,tr-005_00403,test_jehea,2,10,0,64,4,2,1,13
3,tr-006_00693,test_jehea,17,64,53,634,12,21,17,176
3,tr-005_00267,test_jehea,8,3,2,25,3,0,2,5
3,tr-010_02425,test_mixed,4,2,3,40,4,0,1,7
3,tr-005_00340,test_mixed,5,7,0,26,6,0,0,8
3,tr-007_01128,test_mixed,3,1,0,65,2,0,0,22
3,tr-008_01702,test_mixed,4,18,0,53,2,7,0,16
3,tr-005_00370,test_mixed,1,10,0,52,4,2,0,14
3,tr-005_00010,test_mixed,26,23,4,173,15,2,3,42
3,tr-008_01864,test_mixed,15,2,13,26,5,0,1,5
3,tr-008_01853,test_mixed,27,11,0,38,7,2,0,9
3,tr-007_01383,test_mixed,13,13,0,100,12,5,0,23
3,tr-011_02995,test_mixed,3,34,0,72,3,11,0,20
3,tr-009_02339,test_mixed,6,6,3,70,9,4,1,19
3,tr-009_02077,test_mixed,7,21,2,89,9,5,0,16
3,tr-008_01931,test_mixed,4,4,0,56,2,1,0,13
3,tr-005_00413,test_mixed,9,7,3,65,7,0,1,14
3,tr-008_01800,test_mixed,8,14,3,71,6,3,1,16
3,tr-011_02953,test_mixed,1,42,0,80,1,11,1,22
3,tr-006_00892,test_mixed,17,11,1,83,7,2,5,20
3,tr-007_01421,test_mixed,9,17,4,78,9,3,0,20
3,tr-007_01533,test_mixed,17,5,1,161,15,4,2,33
3,tr-006_00995,test_mixed,8,10,1,89,5,2,0,26
3,tr-009_02340,test_mixed,7,3,4,75,9,1,0,18
3,tr-005_00086,test_mixed,6,28,1,50,4,7,0,13
3,tr-005_00206,test_mixed,8,14,4,60,6,4,0,12
3,tr-005_00286,test_mixed,18,15,3,64,10,0,1,11
3,tr-005_00347,test_mixed,26,16,6,67,14,0,1,14
3,tr-005_00311,test_mixed,12,11,4,79,12,2,1,18
3,tr-005_00232,test_mixed,5,5,5,43,5,0,2,11
3,tr-006_00641,test_mixed,11,97,20,634,24,23,2,173
3,tr-007_01492,test_mixed,1,0,0,42,1,0,0,10
3,tr-008_01729,test_mixed,2,12,2,41,3,3,1,11
3,tr-006_00897,test_mixed,8,4,0,41,8,0,2,9
3,tr-010_02819,test_mixed,19,28,0,47,1,10,0,11
3,tr-006_00676,test_mixed,3,2,0,33,1,1,0,12
3,tr-010_02545,test_mixed,9,9,1,45,8,1,0,9
3,tr-011_02872,test_mixed,14,12,8,147,14,2,3,41
3,tr-010_02825,test_mixed,3,4,0,75,3,1,0,16
3,tr-009_02231,test_mixed,7,18,1,154,9,8,0,42
3,tr-007_01401,test_mixed,3,10,5,73,9,2,1,22
3,tr-007_01484,test_mixed,3,4,5,133,3,1,2,38
3,tr-007_01348,test_mixed,3,2,1,42,3,0,1,8
3,tr-009_02028,test_mixed,35,8,0,43,8,0,1,8
3,tr-009_02163,test_mixed,4,10,2,94,3,4,0,26
3,tr-008_01576,test_mixed,4,181,0,439,7,46,0,103
3,tr-006_01017,test_mixed,10,15,0,127,5,3,0,33
3,tr-011_03267,test_mixed,4,10,21,98,5,5,4,34
3,tr-006_00680,test_mixed,4,2,2,54,4,0,2,18
3,tr-006_00605,test_mixed,4,1,2,42,4,0,1,10
3,tr-008_01847,test_mixed,4,1,1,46,3,1,1,8
3,tr-011_03237,test_mixed,3,8,1,58,3,2,0,15
3,tr-009_02219,test_mixed,4,10,6,36,4,3,2,10
3,tr-008_01677,test_mixed,1,15,0,92,4,7,0,25
3,tr-006_01075,test_mixed,6,9,1,54,3,5,0,14
3,tr-006_01025,test_mixed,0,1,4,47,2,1,1,13
3,tr-008_01863,test_mixed,2,4,0,34,3,1,0,8
3,tr-010_02746,test_mixed,2,20,1,62,2,7,2,17
3,tr-006_01009,test_mixed,0,1,0,29,0,1,0,9
3,tr-009_02007,test_mixed,5,6,0,24,4,2,0,7
3,tr-007_01398,test_mixed,2,1,0,32,3,0,2,6
3,tr-006_00996,test_mixed,5,14,1,47,5,0,0,6
3,tr-011_03110,test_mixed,6,11,4,78,7,4,1,24
3,tr-008_01705,test_mixed,7,5,5,95,5,4,0,25
3,tr-007_01395,test_mixed,8,16,0,80,8,6,0,19
3,tr-005_00319,test_mixed,4,3,1,38,3,1,0,11
3,tr-008_01798,test_mixed,4,4,2,25,3,0,0,6
3,tr-007_01214,test_mixed,7,5,2,41,3,1,3,10
3,tr-006_00487,test_mixed,3,17,0,59,2,1,0,14
3,tr-007_01427,test_mixed,27,68,9,265,36,8,3,62
3,tr-011_03153,test_spanish_only,2,3,0,51,1,2,0,17
